ě pé 	il a pris
Yəŋ bɑ gɛfa' a yə gɑ shi e a, mo yə gɑ ŋkhùŋ e té' a, yə a buŋ gɑ shwɔ' e a. Gɑ gɔ sɔ' nyəŋ Zhwenyə a nə é, e piŋ bɑ da'tə nwə dəŋdəŋ bi nthəm nthə̌m.	«Voici mon serviteur que j’ai élu, mon bien-aimé, en qui mon âme a trouvé son plaisir ; je mettrai mon Esprit sur lui, et il annoncera [le] jugement aux nations.
E tə gɔ sɔ' pɑ́ cəŋ nwə pɑ; e lə pɑ́ shɔk ; pu lə pɑ́ ju' gi e nə sɔmtsʉ'.	Il ne contestera pas, et ne criera pas, et personne n’entendra sa voix dans les rues;.
E tə gɔ sɔ' po' ka' tsyə a pɔ a pɑ́, e lə pí səsa' mɔk, tə nwə dəŋdəŋ cyə́ shù.	il ne brisera pas le roseau froissé, et il n’éteindra pas le lumignon qui fume, jusqu’à ce qu’il ait produit en victoire le jugement;
Nthəm nthə̌m gɔ sɔ' pɑ́ yap mkwɛnyə map pɑ́ nə tsó tsyə̀.	et les nations espéreront en son nom»
Pú lə lɑ̌ mu' mo sɔ' bi Yeso, zhwenyə cwəpùŋ pɑ́ nə e, e pɑ́ fʉ̀ biŋ bɑ́ tə ghɔm; Yeso yɛ̀ é tə e ghɔmnwə, biŋ jɔ tsʉ'.	Alors il lui fut amené un démoniaque aveugle et muet, et il le guérit ; de sorte que l’homme aveugle et muet parlait et voyait.
Nwə lə cyə̌ pɔmnəŋ, wap pɑ́ gɔm gɑ: Mo yəŋ gɑ tə́ bɑ́ Mu David a lə?	Et toutes les foules étaient hors d’elles et disaient : Celui-ci serait-il le fils de David?
Da' gɑ pɑ Farisai lə́ nə yu' yap gɔm gɑ: Mo yɑ̌ dɑ pɑ́ Beɛlzəbul tá mzhwenyə cwəpuŋ tə́ nə́ jəŋ mzhwenyə cwəpuŋ.	Mais les pharisiens, ayant entendu cela, dirent : Celui-ci ne chasse les démons que par Béelzébul, chef des démons.
Yeso lə zhyə́ mkwɛnyə map gɔm bi pu gɑ: Guŋ nəfo tsyə a ghaptə a bɑ guŋ bipǐ. Bi a pɑ́ sɔm tisuŋ, kɑ sɔm tuŋdyə lə yə ŋkhyɛ'nyə ko nə a lə vɔk.	Et Jésus, connaissant leurs pensées, leur dit : Tout royaume divisé contre lui-même sera réduit en désert ; et toute ville ou maison divisée contre elle-même ne subsistera pas.
A pɑ gɑ́ Sata zhəŋ Sata, bɑ e ghaptə nɑ e, bɑ nəfo tsyə́ gɔ piŋ pɑwə m gɑ kɑ?	Et si Satan chasse Satan, il est divisé contre lui-même ; comment donc son royaume subsistera-til ? 
A pɑ gɑ́ gɑ dɑ Beɛlzəbul tə́ nə́ jəŋ mzhwenyə cwəpuŋ bɑ pɑkhʉ pɔ dɑ kɑ́ jəŋ wap ɑ? Wap nə gɔ cwɔ'tə wɔ pɑ́ wap wap.	Et si c’est par Béelzébul que moi je chasse les démons, vos fils par qui les chassent-ils ? C’est pourquoi ils seront eux-mêmes vos juges.
Da' gɑ́ a pɑ gɑ́ gɑ̌ dɑ Zhwenyə Si tə́ nə jəŋ mzhwenyə cwəpuŋ bɑ nəfo Si sɔ' tə́ ŋkhəm nə po.	Mais si moi je chasse les démons par l’Esprit de Dieu, alors le royaume de Dieu est parvenu jusqu’à vous. 
A nəŋ bɑ́ bi a pɑ mo ko dyə gɛ gʉ̌' jʉ tsə́ tsyə m gɑ́ kɑ? Tə ləŋdzə kwɑ e? E kwɑ e bɑ e gɔ sim dyə e.	Ou comment quelqu’un pourra-t-il entrer dans la maison de l’homme fort et piller ses biens, si premièrement il n’a lié l’homme fort ? et alors il pillera sa maison.
Mo yə pyə e tə bɑ a pɑ́ bɑ́ gɛ bo a, mo yə pyə e tə nəŋ bəmtə shu'tə́ a pɑ sa'tə.	Celui qui n’est pas avec moi, est contre moi ; et celui qui n’assemble pas avec moi, disperse
A po'o tə gɑ̌ siŋ wɔ gɑ́ pu gɔ sɔ' lɑ guŋ mhɔ bɑ guŋ mcap nə cwyɛ' pɔmnəŋ, da' gɑ pu tə gɔ sɔ' cwyɛ' mo nə nə cap Zhwenyə pɑ.	C’est pourquoi je vous dis : tout péché et [tout] blasphème* sera pardonné aux hommes ; mais le blasphème* contre l’Esprit ne sera pas pardonné aux hommes.
Mo yə e ghɔmnwə nə Mú mo a pu gɔ sɔ' nə cwyɛ' e, da' gɑ bi a pɑ́ e ghɔmnwə nə Zhwenyə Dɔlɔ̌ bɑ pu tə gɔ sɔ' nə cwyɛ' e nthʉm yəŋ dzʉ̌ kɑ yə dzʉ̌ yə a gɔ tə sɔ' a lə.	Et quiconque aura parlé contre le fils de l’homme, il lui sera pardonné ; mais quiconque aura parlé* contre l’Esprit Saint, il ne lui sera pardonné ni dans ce siècle, ni dans celui qui est à venir. 
Mo ghə ta'thə pɑpúŋ, bɑ e gɔ ghə tɔmthə́ pɑpuŋ, biŋ gə ta'thə cwəpùŋ bɑ o gɔ ghə tɔmthé cwəpuŋ. Pù jyə ta'thə pɑ nə tɔm é.	Ou faites l’arbre bon et son fruit bon, ou faites l’arbre mauvais et son fruit mauvais, car l’arbre est connu par son fruit.
Wɔ gwya mnɔk mtìŋ, bi a pɑ́ po ghɔmnwə pɑpuŋ m gɑ́ kɑ̀, bɑ po pɔk tiŋ pá' a? Nə pá' ywə yə mo gɔm a bɑ ywə yə a nthəm nthʉm tʉm e a.	Race de vipères, comment, étant méchants, pouvez-vous dire de bonnes choses ? car de l’abondance du cœur la bouche parle.
Mo pɑpúŋ nthé tsə pɑpuŋ nthʉm nthɛ́ pɑpuŋ e; mo cwəpuŋ pɑ́ nthé tsə cwəpuŋ nthʉm nthɛ cwəpuŋ e.	L’homme bon, du bon trésor, produit de bonnes choses, et l’homme mauvais, du mauvais trésor, produit de mauvaises choses.
Tɑ́ gɑ siŋ wɔ gɑ́ pɔmnəŋ gɔ sɔ' pa' nwə nə mghɔm cwəpuŋ myə a lə təm shwə́ pu a.	Et je vous dis que, de toute parole oiseuse qu’ils auront dite, les hommes rendront compte au jour de jugement;
Nə pa' a gɔ sɔ' cyə pɑ́ m nə mghɔm mǔ tɑ́ o təm nə shɛ́, piŋ cyə pɑ́ m nə mghɔm mǔ tɑ́ o kó nə shɛ́.	car par tes paroles tu seras justifié, et par tes paroles tu seras condamné.
A lə pɑ́ po'o shɑ́ pɑ zhyə́ mco' pu a pɑ Farisai lɑ ghɔm gɔ́m gɑ: Ta pyə wə shəŋ gɑ́ o ghə pyə yɔ ta' mtiŋ.	Alors quelques-uns des scribes et des pharisiens lui répondirent, disant : Maître, nous désirons voir un signe de ta part.
Yeso pa' bi pu gɑ: Pɔ nə wɔdzʉ cwəpuŋ pɑ́ ghə ghap həŋtə́ mtiŋ! Pu tə gɔ piŋ la'tə sɔm mtiŋ bi pu pɑ́ tə ně da' myə́ gɔm ghɔm Si Yona.	Mais lui, répondant, leur dit : Une génération méchante et adultère recherche un signe ; et il ne lui sera pas donné de signe, si ce n’est le signe de Jonas le prophète.
Nə pa' dəŋdəŋ pá' Yona lə ghə mtyɛ'dzʉ́ məthá ba mtsʉ̌' məthá vam mɑ bapgu a, a dəŋdəŋ po'o tɑ́ Mú mo gɔ sɔ' ghə mtyɛ'dzʉ́ məthá ba mtsʉ̌' məthá nthʉm ca'.	Car, comme Jonas fut dans le ventre du cétacé trois jours et trois nuits, ainsi le fils de l’homme sera trois jours et trois nuits dans le sein de la terre.
A gɔ sɔ' pɑ́ tyɛ'dzʉ́ nə fyɛ', pɑ́ Ninivə lusi pu a pɔ nə yəŋ wɔdzʉ́ pɑ́ Ninivə pɑ nyəŋ shɛ thə̀ pú nə pa' a bɑ wap lě ju' ghɔm Yona bʉɔtʉ́m tsap a, Tə́ po zhyə gɑ́ mo yə e tsɔ' a cyə Yona.	Des hommes de Ninive se lèveront au jugement avec cette génération et la condamneront, car ils se sont repentis à la prédication de Jonas, et voici, il y a ici plus que Jonas.
A gɔ sɔ' pɑ́ nə tyɛ̌' dzʉ nə fyɛ́' shɛ, Mɑfo guŋ Mto dzʉ́ lusi pu a pɔ nə yəŋ wɔdzʉ, e nyəŋ shɛ thə pú, nə pa' e lə fɑ tə dhə́ dzʉ́ sɔ' jú' zhyənwə Salomoŋ. Tə po zhyə gɑ mo yə e tsɔ' a bɑ e cyə Salomoŋ.	Une reine du midi se lèvera au jugement avec cette génération et la condamnera, car elle vint des bouts de la terre pour entendre la sagesse de Salomon, et voici, il y a ici plus que Salomon*.
A bɑ́ cwə yə zhwenyə cwəpuŋ təm nə mo a, e pɑ ŋkha nə mghak tsʉ́', bɑ shəŋ tsʉ' hwitə̀, da' gɑ́ e lə yɔ pɑ́.	Or quand l’esprit immonde est sorti d’un homme, il va par des lieux secs, cherchant du repos, et il n’en trouve point.
A pɑ́ po'o e ghɔm gɑ: Gɑ̌ gɔ pɑnyə nə tsʉ' shwə a yə dɑ təm nə a. E bɑnyə cwəlɔ, jɔ tsʉ' la' ywə pɑ nə, bɑ pu khʉ́m, jap ŋkhɛ nə.	Alors il dit : Je retournerai dans ma maison d’où je suis sorti. Et y étant venu, il la trouve vide, balayée et ornée.
E ghɔ cwəlɔ dɑ shɑ mzhwenyə sɔmbʉə bɑ wap pɔk shyə e, pu a pú sɔ' ŋkho nə mo bɔ; mo bɔ piŋ bɔk shyə́ pa' e lə ji bɑ́ a. A gɔ sɔ' pɑ́ pɑ dəŋdəŋ po'o nə yəŋ wɔ̌ dzʉ̀ cwəpuŋ.	Alors il va, et prend avec lui sept autres esprits plus méchants que lui-même ; et étant entrés, ils habitent là ; et la dernière condition de cet homme-là est pire que la première. Ainsi en sera-t-il aussi de cette génération méchante.
Cwə yə́ Yeso lə pɑ́ gɔm nwə bi pɔmnəŋ a, map e pu a mfɑ pyə tiŋnyə dzʉ̀ bɑwə shəŋ nə ghɔmnwə bi e.	Et comme il parlait encore aux foules, voici, sa mère et ses frères se tenaient dehors, cherchant à lui parler.
Mu' mo ghɔm bi e gɑ: Mɔ̌ pu a mfɑ pǔ tíŋnyə̀ dzʉ́, bɑwə shəŋ nə ghɔmnwə bu.	Et quelqu’un lui dit: Voici, ta mère et tes frères se tiennent dehors, cherchant à te parler.
A shwə́ tə do, pu fəŋ jap kəŋ shyə, shwə́ bəŋ o cwəlɔ dɑ sap dak yə pɑpuŋ, biŋ gwa' yə a tə sɔmywə a pɑ́.	et quand elle fut pleine, ils la tirèrent sur le rivage, et s’asseyant, ils mirent ensemble les bons dans des vaisseaux, et jetèrent dehors les mauvais.
A gɔ sɔ' pɑ́ pɑ́ po'o nə jʉɔjʉm tyɛ'dzʉ: Pɑ aŋgəle gɔ sɔ' təm, té pyə pɔ cwəpuŋ nə pyə dəŋdəŋ,	Il en sera de même à la consommation du siècle* : les anges sortiront, et sépareront les méchants du milieu des justes,
ma' wap nthʉm mɔk gwyə́; tsʉ'u bɔ gɔ sɔ' pɑ tsʉ' lɔ̀ ba nə npfɑ msuŋ.	et les jetteront dans la fournaise de feu : là seront les pleurs et les grincements de dents.
Yeso lə hə́ŋtə wáp gɑ: Tə́ pǒ yu' guŋ mnwə bɔ awɛ lə? Wap pa' bi e gɑ: Əŋ.	Jésus leur dit : Avez-vous compris toutes ces choses ? Ils lui disent : Oui, [Seigneur].
E piŋ gɔm bi pu gɑ: Bǎ ya gɛ zhyə́ mco' lə yə ě zhyə́ nwə nə́ Nəfo kɛbəŋ a, bɑ́ pa' mu' gɛ lǎ' yə e nthé ywə sə́ ba yə bvò nthɛ é a.	Et il leur dit : C’est pour cela que tout scribe qui a été fait disciple du* royaume des cieux est semblable à un maître de maison qui produit de son trésor des choses nouvelles et des choses vieilles.
Yeso lə́ mǐŋ nə́ ghɔm mghɔm tə́ tutə̀, tsʉ'u bɔ, du gɔ.	Et il arriva que, quand Jésus eut achevé ces paraboles, il se retira de là.
E lə́ kó la' pú, bɑ ji'tə ywə bi pɑ wə́ pú dyə sinagogə, bɑ shə́ŋtə ji'tə wap tə nwə cyə wap; wap pɑ gɔm gɑ: Yəŋ nthi zhyənwə pu a msya nwə̀ fɑ m hɑ́ bi e?	Et étant venu dans son pays, il les enseignait dans leur synagogue, en sorte qu’ils étaient étonnés et disaient : D’où viennent à celui-ci cette sagesse et ces miracles ?
E tə́ bɑ mú ŋkham mthə́ pa' a lə́? Pu tə́ ŋkhe map e gɑ Maria a lə́? Mfɑ pyə́ lə pɑ́ pɑ Yakop pu a Yosɛp ba Simon ba Yuda lə̀?	Celui-ci n’est-il pas le fils du charpentier ? Sa mère ne s’appelle-t-elle pas Marie ? et ses frères, Jacques, et Joses*, et Simon, et Jude ?
Ba mfɑ pyə́ pyə pɑ jwǐ lə pɑ́ pɑ́ cəcɑ̌ pɑ́ lə̀? Tə mɔ gə nthi mnwə fɑ hɑ bi é?	Et ses sœurs ne sont-elles pas toutes auprès de nous ? D’où donc viennent à celui-ci toutes ces choses ?
Yeso lə bɑ bi pú bɑ́ pa' ywə fa'tə a. E lə ghɔm bi pú gɑ: Pu gwak gɔm ghɔm Si pɑ nthʉm gùŋ pú ba m dyə̌ é.	Et ils étaient scandalisés en lui. Et Jésus leur dit : Un prophète n’est pas sans honneur, si ce n’est dans son pays et dans sa maison.
lə́ pɑ́ po'o Yeso lə ghyɛ' gə msya wə́ pɑ́ nə pa' wap la tə bɑ wap ghə piŋnthʉm a pɑ́.	Et jesus ne fit pas là beaucoup de miracles, à cause de leur incrédulité.
A lə́ pɑ́ cwə o bɔ, fo Herode yu' dəŋ pa' pu lə bɑwə gu'tə́ tsó Yeso a,	En ce temps-là, Hérode le tétrarque* ouït parler de la renommée de Jésus;
biŋ gɔm bi pɔ pyə gɑ: Bɛ bǎ bɑ́ Yohane nu' pɔ shyə́! A bɑ́ e yam nə vʉ̌; a ywə yə a gə tɑ e pɑwə nthé msya a.	et il dit à ses serviteurs : C’est Jean le baptiseur ; il est ressuscité des morts, et c’est pourquoi les miracles s’opèrent par lui.
Nə pa' a lə́ bɑ Herode lě gə̀ pu ghəm Yohane dɑ́ gwɑ́ mtʉɔ shəŋ é, nyəŋ e dyəcɛ̌, po'o dú nə nwə Herodia jwi fɑ Herode yə tso tsyə bɑ Filipo a.	Car Hérode, ayant fait prendre Jean, l’avait fait lier et mettre en prison, à cause d’Hérodias, la femme de Philippe son frère;
Nə pa' Yohane lə bɑ́ gɔm bi Herode gɑ́, pú ká piŋ gɑ́ o lɑ jwi fɑ o.	car Jean lui disait : Il ne t’est pas permis de l’avoir.
A lə bɑ́ po'o Herode pɑ shəŋ nə zhwə Yohane, da' gɑ́ bɑwə bwɔk pɔmnəŋ, nə pa' wap lə́ bɑwə dɑ Yohane gə gɔm ghɔm Si a.	Et tout en ayant le désir de le faire mourir, il craignait la foule, parce qu’ils le tenaient pour prophète.
a' gɑ́ a ti bɑ nə ŋwɛ́nyə tyɛ' tsə Herode, mú gò Herodia nə̀ŋ ywə dzə̌ msǒ Herode, a puŋ e te'te'.	Mais lorsqu’on célébrait l’anniversaire de la naissance d’Hérode, la fille d’Hérodias dansa devant tous, et plut à Hérode:
A lə pɑ̌ po'o, Herode kɔ́ mkɔ nə gɔm bi mú mjwǐ bɔ gɑ́ e həŋtə́ pɑ kɑ bi lə́ bɑ e gɔ hɑ bi e.	sur quoi il lui promit avec serment de lui donner tout ce qu’elle demanderait.
Map e lə thənyə e, e ghɔm bi Herode gɑ́: Hɑ́ thə́ Yohane nu' pɔ shyə bəm tsɔ'ɔ nthʉm pak kɛ́.	Et elle, poussée par sa mère : Donne-moi ici, dit-elle, dans un plat, la tête de Jean le baptiseur.
Nwə lə pɔk fo Herode. Da' gɑ a cyə́ m nə mkɔ myə e lə kɔ a, ba m nə mso pyə́, e ghɔm gɑ pu hɑ́ bi e.	Et le roi en fut affligé ; mais, à cause des serments et de ceux qui étaient à table avec lui, il donna l’ordre qu’on la lui donnât.
Tə́ nthəm pu ghɔ dyə́ cɛ̌ ja' thə Yohane.	Et il envoya décapiter Jean dans la prison.
Pú lə lɑ̌ thə́ e nə sɔ' nthʉm pak kɛ hɑ bi mǔ mjwǐ, e lɑ nɑ gɔ hɑ bi map e.	Et sa tête fut apportée dans un plat et donnée à la jeune fille ; et elle la porta à sa mère.
Pɑkhʉ̌ Yohane lə sɔ' ŋkwa pfə e nə gɔ nthəŋ; biŋ gɔ siŋ Yeso.	Et ses disciples vinrent et enlevèrent le corps et l’ensevelirent; et s’en allant, ils rapportèrent à Jésus ce qui était arrivé.
Yeso lə nə yu' mcuŋ bɔ, dɑ kənu' nə gɔ nə mu' ghakgo, tsʉ' tsiŋ, pɔmnəŋ lə nə yu', nthəm nə mtisuŋ jyəjyə̀ jap jʉ̀m e, giŋ mkwə̀.	Et Jésus, l’ayant entendu, se retira de là dans une nacelle en un lieu désert, à l’écart; et les foules, l’ayant appris, le suivirent à pied, des différentes villes.
Pɑkhʉ̌ pyə lə́ nə yɔ pa' e wə giŋ dəm shyə, səŋ te', wap ghɔm gɑ: A ghɛnyə́ mo, bwɔk, shwé tə thə́.	Et les disciples, le voyant marcher sur la mer, furent troublés, disant : C’est un fantôme. Et ils crièrent de peur.
Da' gɑ́ Yeso wuŋ gɔm bi pu gɑ: Po kyəp tʉm tsɔ, a bɑ́ myə̀, ka po pwɔk.	Mais Jésus leur parla aussitôt, disant : Ayez bon courage ; c’est moi, n’ayez point de peur.
Pɛtrɔ ghɔm bi e gɑ: Cyəpɔ a pɑ́ gɑ́ a bɑ kwa' wə, o ghɔm gɑ́ giŋ dəm shyə sɔ̌' bəŋ o.	Et Pierre, lui répondant, dit : Seigneur, si c’est toi, commande-moi d’aller à toi sur les eaux.
Yeso ghɔm bi e gɑ: Sɔ̌'. Pɛtrɔ tə̀m kənu' giŋ dəm shyə́ bɑ gɔ m bəŋ Yeso,	Et il dit: Viens. Et Pierre, étant descendu de la nacelle, marcha sur les eaux pour aller à Jésus.
da' gɑ gʉ' fəfa ghə̀ e pwɔk, ntho' nə nuŋtə m shyə, shwé gɑ: Cyəpɔ, vɔk a!	Mais voyant que le vent était fort, il eut peur; et comme il commençait à enfoncer, il s’écria, disant: Seigneur, sauve-moi!
Yeso wuŋ nya pu e, ŋkhyəp e, gɔm gɑ Mo mu ywə piŋnthʉm, nwə kɑ́ bɑ o zhʉ'nyə́?	Et aussitôt Jésus, étendant la main, le prit et lui dit : Homme de petite foi, pourquoi as-tu douté ?
Wap pu e lə̀ ko nthʉm kənu' cwəlɔ, fəfa mǐ.	Et quand ils furent montés dans la nacelle, le vent tomba.
Pɔ pyə́ wap lə bɑ́ nthʉm kənu' a kam mkwi'tə dzə é gɔm bi e gɑ: Kwa' nyənyɔ, o bɑ́ Mǔ Si.	Et ceux qui étaient dans la nacelle vinrent et lui rendirent hommage, disant : Véritablement tu es le Fils de Dieu!
Wap lə sa' shyə, ŋkhəm nə cǎ' guŋ Genezarɛt.	Et ayant passé à l’autre rive, ils vinrent dans la contrée de Génésareth.
Pɑ́ tsʉ'u bɔ zhyə́ Yeso, siŋ guŋ pɑ́ ghəŋ tsʉ'u awɛ, pu pɑ dɑ guŋ mghɛ gho awɛ sɔ' bi e.	Et les hommes de ce lieu-là, l’ayant reconnu, envoyèrent dans tout le pays d’alentour ; et on lui apporta tous ceux qui se portaient mal;
Bɑ shwyɛ'nyə e da' gɑ́ e piŋ nə tak gɑ wap kwak mcwǐŋ dzə e, a piŋ bɑ po'o guŋ pɔ pyə wap lə́ bɑwə́ ŋkwak a pɑ́ jɛ́.	et ils le priaient de [les laisser] toucher seulement le bord de sa robe : et tous ceux qui le touchèrent furent complètement guéris.
Yeso lə́ wuŋ nthənyə pɑkhʉ̌ pyə gɑ́ wap ko nthʉm kənu', bɑ́ sa' gɔ nə́ yə mu' jʉɔ, e cʉ' bɑ da'nyə pɔmnəŋ.	Et aussitôt il contraignit les disciples de monter dans la nacelle et de le précéder à l’autre rive, jusqu’à ce qu’il eût renvoyé les foules.
E lə́ miŋ nə́ la'nyə pɔmnəŋ, bʉɔ gɔ dəm kúŋ, tsʉ' tsiŋ shwyɛ'nyə Si. A lə pɑ̌ bwadzʉ̌, e pɑ tsʉ'u do é.	Et quand il eut renvoyé les foules, il monta sur une montagne à l’écart pour prier; et le soir étant venu, il était là seul.
Kənu' tsə́ pɑ̀ tə gʉə sʉəsʉə dəm shyə. Fa shyə́ pɑ́wə mɛnyə, fəfa pɑwə ŋkwa é nə biŋ m jʉ̀m.	Or la nacelle était déjà au milieu de la mer, battue par les vagues, car le vent était contraire.
A lə nə pɑ́ gwɛ a ŋkwɔ'dzʉ̌, Yeso ghiŋ dəm shyə pɑpʉə bɑ sɔ' m bəŋ pú.	Or la nacelle était déjà au milieu de la mer, battue par les vagues, car le vent était contraire.
Mtsǒ mghɛ nthəm bɔ shwɔppʉə mgham bɑ́ gɑ: Dəŋdzə: Simon yə pú ŋkhe e gɑ Pɛtrɔ a, ba Andreya fɑ e. Yakop mú Zebede ba Yohane fɑ e;	Or ce sont ici les noms des douze apôtres: le premier, Simon appelé Pierre, et André son frère; Jacques le [fils] de Zébédée, et Jean son frère;
Filipo ba Bartelemi; Tomasi ba Matio gɛ kwishwɔp. Yakop mu Alfeo ba Tadeo.	Philippe et Barthélemy; Thomas et Matthieu le publicain; Jacques le [fils] d’Alphée, et Lebbée surnommé Thaddée;
Simon mú e guŋ ba Yuda Iskariɔt yə e hɑ Yeso bi mghɛ bo pyə a.	Simon le Cananéen, et Judas l’Iscariote, qui aussi le livra.
Yeso lə nə təm pɔ shwɔppʉə mghǎm gɔm bi pu gɑ: Po kɑ́ ghɔ nə mguŋ myə pɑ tə pɑ́ pɑ Yudea nə a, po kɑ́ nəŋ ŋkho nə tisuŋ pɑ Samaria.	Jésus envoya ces douze et leur donna des ordres, disant: Ne vous en allez pas sur le chemin des nations, et n’entrez dans aucune ville de Samaritains;
Po ghɔ m bəŋ jʉ̀jʉ̀ pyə wap lə la' bi nə tuŋdyə Israɛl a.	mais allez plutôt vers les brebis perdues de la maison d’Israël.
Po ghiŋ məjyə bɑ shyanyə gɑ́ Nəfo kɛbəŋ ghɔptə.	Et quand vous irez, prêchez, disant: Le royaume des cieux s’est approché
Po yɛ́ mghɛ ghɔ́, jám mpfə pɔ, dɔnyə mghɛ ka'pap, jəŋ mzhwenyə cwəpuŋ. Po kɑ kwǐ pɑ něné, po hɑ pɑ́ něné.	Guérissez les infirmes ; [ressuscitez les morts]; rendez nets les lépreux; chassez les démons : vous avez reçu gratuitement, donnez gratuitement.
Po kɑ́ lɑ gɔl, kɑ ŋkhap, kɑ bʉ̌m nthʉm pètə yɔ lə.	Ne faites provision ni d’or, ni d’argent, ni de cuivre dans vos ceintures,
Kɑ pʉə ghiŋ lə́, kɑ dzə ŋkwakwa tsɑ pʉə́ lə́, kɑ mthap, kɑ pəŋ lə́, nə pá' bǎ yá gɛfa' lə́ byap mcwɔ'fa' myə́ a.	ni d’un sac pour le chemin, ni de deux tuniques, ni de sandales, ni d’un bâton, car l’ouvrier est digne de sa nourriture.
Po kò bǎ nə ya tisuŋ lə́, kɑ bǎ nə tsa la' lə, po cəŋ tə jɔ mo yə bi a pɑ́ e nyəŋ wɔ dyə a, shwə pɑ́ ywə e tə ŋkhəm cwə nə ghɔ.	Et dans quelque ville ou village que vous entriez, informez-vous qui y est digne ; et demeurez là jusqu’à ce que vous partiez.
Po nə́ kǒ nə dyə̌ sha'tə é.	Et quand vous entrerez dans une maison, saluez-la.
Bi a pɑ gɑ́ dyə bɔ ŋkhu'nyə, bɑ hwitə yɔ gɔ wuŋ nə e bi a e ka nə́ŋ ŋkhu'nyə a, bɑ hwitə yɔ gɔ pɑnyə nə́ po.	Et si la maison [en] est digne, que votre paix vienne sur elle; mais si elle n’[en] est pas digne, que votre paix retourne à vous.
Pú ko bɑ tə lɑ wɔ, biŋ bɑ́ tə yu' ghɔm tsɔ, po nə təm dyə̌, kɑ nə tisuŋ bɔ lə, dzɔp vɔp nə mkwə mɔ.	Et si quelqu’un ne vous reçoit pas et n’écoute pas vos paroles, quand vous partirez de cette maison ou de cette ville, secouez la poussière de vos pieds.
Gɑ siŋ wɔ kwa' nyənyɔ gɑ́ a gɔ la' pɑ́ nə tyɛ' fyɛ', go' Sodɔm pu Gomora lə pɑ ywə nə yə tisuŋ bɔ.	En vérité, je vous dis: le sort du pays de Sodome et de Gomorrhe sera plus supportable au jour de jugement que celui de cette ville-là.
Po yɔ́, gɑ́ nthəm wɔ pa' mjʉ́jʉ́ a cəcɑ́ mbvʉ̌ gǒ. Po ghə fʉ́ pa' mnɔk a, biŋ dɛtə́ pa' msəŋgɔpfo a.	Voici, moi je vous envoie comme des brebis au milieu des loups; soyez donc prudents comme les serpents, et simples comme les colombes;
Po pɔ́mtə́ pɔmnəŋ! Wap gɔ pɑ́ hɑ wɔ dyə fyɛ̀', pɑ́ lɑ mshɔm cwɔ wɔ dyə sinagogə	et soyez en garde contre les hommes, car ils vous livreront aux sanhédrins et vous fouetteront dans leurs synagogues;
pu gɔ sɔ' pɑ lɑ wɔ́ ghɔ dzə mgɔpna' pu a mfomfò nə tsǒ tsɑ̌. A gɔ sɔ' pɑ bi pu ba m bi pɑ tə pɑ́ pɑ Yudea pɑ́ mtiŋ nə ŋkwinthɛ̌.	et vous serez menés même devant les gouverneurs et les rois, à cause de moi, en témoignage à eux et aux nations.
Pú sɔ' bɑ dɑ wɔ gɔ po'o, lam tsɔ kɑ sɔ nə ywə yə po gɔ ko ghɔm a ba pa' po gɔ nə ghɔm a. Po gɔ sɔ' kwi ywə yə pɔ gɔ ghɔm a pɑ́ cwə o bɔ.	Et quand ils vous livreront, ne soyez pas en souci comment vous parlerez, ni de ce que vous direz ; car il vous sera donné dans cette heure-là ce que vous direz;
